Strategy,Nodes Removed,Connected,Subgraphs,Shortest Shortest Path,Longest Shortest Path,ASP Largest Component,Average Top 5 Degree Centrality,Average Top 5 Betweenness Centrality,Average Top 5 Closeness Centrality
random,1,True,1,0.0,9.0,3.0207924391130496,0.6354961832061068,0.16580913083288998,0.5260430926027259
random,2,True,1,0.0,9.0,3.0204742165720373,0.6359464627151052,0.1647557110374498,0.5260841413155088
random,3,True,1,0.0,9.0,3.0158897606646007,0.6371647509578544,0.16571440174575494,0.5266802462887168
random,5,True,1,0.0,9.0,3.022224272848073,0.6326923076923078,0.16548549056493983,0.5254945050652331
random,10,False,2,,,3.005730799743115,0.6458252427184467,0.16386437746715538,0.5272719367505121
random,20,False,8,,,3.031070172473461,0.6261386138613861,0.16371856090146225,0.5165173910596996
random,30,False,7,,,3.0341596761403946,0.6266666666666666,0.16407416179451792,0.5168587574583429
random,50,False,20,,,2.721741539779096,0.6206315789473684,0.10357538380706313,0.47753268132525245
degree,1,False,18,,,3.05258662193853,0.5820610687022901,0.15492811531207212,0.5017209588878255
degree,2,False,39,,,3.094737607583457,0.5261950286806882,0.14015493979762503,0.4695182355272104
degree,3,False,53,,,3.141935483870968,0.4785440613026819,0.13256763668725632,0.4440207837509078
degree,5,False,74,,,3.1964648682879995,0.4003846153846154,0.12308748430613445,0.4154626902605357
degree,10,False,111,,,3.3362024226928093,0.3188349514563107,0.10887595426965298,0.3636790330434822
degree,20,False,155,,,3.744770831920808,0.23524752475247523,0.11414799643909834,0.2819348020407097
degree,30,False,181,,,4.365836118279115,0.13494949494949496,0.11177834828353314,0.21648567083387435
degree,50,False,250,,,4.822607163828538,0.09515789473684211,0.021105530273435848,0.08449962943009562
betweenness,1,False,12,,,2.822635119064608,0.6324427480916031,0.10847618149082869,0.4821858438122364
betweenness,2,False,32,,,2.85490878414004,0.5850860420650096,0.10037581674192575,0.45132396274366765
betweenness,3,False,50,,,2.892253504888397,0.5241379310344827,0.0891120936595623,0.4256923079559571
betweenness,5,False,79,,,2.9445535950428834,0.4773076923076924,0.08231460914063317,0.400610233295754
betweenness,10,False,129,,,2.759040312569952,0.3724271844660194,0.04039126105099067,0.3312695773586557
betweenness,20,False,197,,,2.816535114349322,0.3013861386138614,0.023434965043573015,0.2566986045350047
betweenness,30,False,222,,,2.861391620161219,0.27232323232323236,0.019896317347137038,0.22661763069399316
betweenness,50,False,263,,,3.0450999124273546,0.18652631578947368,0.014809088871065324,0.16443011264518875
closeness,1,False,21,,,3.0565570719111625,0.5870229007633588,0.1527294921997654,0.49553229779394314
closeness,2,False,39,,,3.094737607583457,0.5261950286806882,0.14015493979762503,0.4695182355272104
closeness,3,False,53,,,3.141935483870968,0.4785440613026819,0.13256763668725632,0.4440207837509078
closeness,5,False,74,,,3.240600390182119,0.4123076923076924,0.12303383915983676,0.4093535562274317
closeness,10,False,106,,,3.457130693912303,0.3627184466019417,0.12517743651981902,0.3600913923562756
closeness,20,False,164,,,2.983106019276232,0.281980198019802,0.02355850571319572,0.23564517150258618
closeness,30,False,189,,,3.3232412060301506,0.1898989898989899,0.025306758310683703,0.18444853254547963
closeness,50,False,221,,,4.087653980511123,0.11242105263157895,0.022389472317410973,0.10728040196370003
